"acc_num","st_date","cust_age","bill_city","cr_score"
392116,2014-06-16,60,"Crossfield","5"
75250,2015-01-17,54,"Calgary","5"
262366,2017-08-25,58,"Innisfail","3"
852419,2017-01-21,27,"Calgary","2"
385386,2014-09-23,31,"Calgary","3"
926225,2015-09-29,70,"Cochrane","5"
888075,2017-05-15,21,"Edmonton","3"
951203,2017-02-28,51,"Edmonton","4"
654638,2018-09-21,21,"Richmond","3"
459398,2017-08-30,45,"Calgary","5"
367457,2016-11-06,21,"Sidney","4"
706046,2019-06-24,55,"Victoria","5"
284636,2015-05-12,66,"Calgary","5"
73574,2015-12-05,56,"Burnaby","2"
895285,2019-03-27,41,"Prince George","4"
355829,2015-05-17,65,"Calgary","4"
850684,2017-05-01,33,"Edmonton","4"
51160,2017-07-19,60,"Calgary","4"
670793,2015-05-08,23,"Nelson","4"
597781,2014-02-27,66,"Kelowna","5"
907251,2018-04-30,33,"Edmonton","4"
720872,2018-07-31,63,"Redcliff","5"
398911,2016-12-20,46,"Calgary","4"
803078,2017-09-29,24,"Calgary","5"
989376,2018-07-08,24,"Surrey","4"
201169,2018-09-30,60,"Calgary","4"
179579,2016-11-21,39,"Coquitlam","3"
603216,2018-04-07,68,"Richmond","4"
975988,2017-12-04,67,"Rocky Mountain House","5"
250508,2017-04-24,66,"Surrey","4"
129159,2014-04-12,49,"Calgary","4"
792378,2016-03-16,66,"Coquitlam","5"
280398,2015-04-17,32,"Cranbrook","5"
194644,2014-06-12,41,"Calgary","1"
722480,2019-02-13,49,"Burnaby","5"
987739,2018-12-20,34,"Surrey","3"
330542,2018-12-15,51,"Camrose","4"
887537,2019-05-08,54,"Salmon Arm","5"
614628,2018-08-02,26,"Calgary","4"
619712,2018-11-13,61,"Legal","4"
169272,2015-01-23,66,"New Westminster","5"
190760,2016-07-12,23,"Surrey","4"
712820,2018-09-26,48,"Burnaby","3"
360824,2015-12-06,56,"Surrey","4"
91057,2014-08-29,36,"Surrey","3"
743938,2016-04-21,67,"Campbell River","5"
908813,2017-06-07,68,"Brooks","5"
335627,2017-09-13,29,"Calgary","5"
443435,2019-01-24,38,"Calgary","3"
805470,2018-06-30,69,"Chilliwack","4"
841658,2019-05-29,56,"Edmonton","4"
422584,2016-12-13,29,"Beaumont","4"
320564,2018-12-21,32,"Chestermere","4"
748495,2019-04-05,66,"Killam","3"
412263,2017-11-27,34,"Brooks","4"
503608,2019-07-04,45,"Vancouver","5"
951132,2019-05-22,65,"Maple Ridge","4"
882030,2014-06-09,66,"Red Deer","5"
9863,2019-01-24,61,"Edmonton","3"
285104,2018-07-04,57,"Langley","3"
29484,2017-08-24,21,"Edmonton","5"
5408,2019-05-23,67,"Calgary","5"
179034,2015-11-07,40,"Calgary","4"
885601,2017-09-21,55,"Coquitlam","3"
50887,2018-11-23,22,"Fernie","4"
5108,2018-11-17,48,"Nanaimo","4"
563071,2018-08-10,46,"Edmonton","1"
627626,2014-06-03,54,"Victoria","5"
55042,2019-03-02,46,"Edmonton","4"
123795,2015-04-10,64,"Edmonton","5"
786483,2017-01-24,57,"Calgary","4"
304815,2018-11-05,31,"Coquitlam","5"
312470,2019-05-14,29,"Vancouver","4"
125709,2016-08-06,54,"Edmonton","5"
84648,2014-11-29,44,"Surrey","3"
695150,2016-06-12,31,"Calgary","5"
147310,2018-02-11,21,"Prince George","5"
530297,2014-08-21,33,"Burnaby","2"
724338,2014-12-26,61,"Surrey","5"
445356,2017-06-26,33,"Surrey","4"
665710,2015-07-08,28,"Stony Plain","4"
357438,2019-03-05,58,"Edmonton","4"
586043,2017-05-31,33,"Edmonton","2"
310166,2019-06-09,66,"Westlock","4"
529033,2017-12-18,26,"Airdrie","4"
187943,2016-09-18,19,"Calgary","3"
335774,2018-05-03,59,"Calgary","4"
767436,2015-07-30,32,"Edmonton","3"
715969,2017-01-04,67,"Morinville","5"
98445,2019-05-27,37,"Vancouver","4"
821282,2017-05-11,39,"Calgary","3"
953015,2017-07-06,34,"Calgary","3"
519065,2017-07-15,45,"Calgary","3"
821640,2018-01-15,57,"Calgary","3"
574940,2018-03-26,25,"Edmonton","3"
924419,2016-11-20,34,"Calgary","5"
526491,2019-05-20,63,"Colwood","5"
721121,2018-12-05,43,"Calgary","3"
684930,2016-06-19,25,"Edmonton","2"
591073,2017-04-28,56,"Edmonton","5"
642684,2014-04-26,33,"Canmore","5"
765988,2014-07-28,36,"Black Diamond","4"
191450,2019-03-24,52,"Calgary","5"
222523,2017-04-24,31,"Edmonton","4"
589496,2018-02-09,42,"Calgary","5"
856752,2017-06-14,63,"St. Albert","4"
607116,2018-05-28,57,"Edmonton","4"
969509,2019-07-16,62,"Calgary","3"
594288,2014-07-27,30,"Edmonton","4"
98227,2016-12-20,59,"Calgary","5"
744756,2018-05-06,57,"Lethbridge","5"
502263,2016-09-19,53,"Vernon","3"
905360,2014-05-06,36,"Calgary","5"
146497,2016-12-14,36,"Vancouver","3"
321827,2019-05-26,22,"Calgary","3"
274146,2018-03-27,44,"Pitt Meadows","5"
773183,2018-07-27,70,"Surrey","3"
623147,2017-11-07,19,"Nanaimo","5"
290739,2019-03-22,36,"Kelowna","5"
187272,2015-12-08,35,"Fort Saskatchewan","4"
674058,2016-08-15,31,"Calgary","4"
578824,2018-09-03,50,"Calgary","4"
144968,2017-10-14,27,"Calgary","4"
859449,2018-12-03,32,"Abbotsford","4"
356876,2017-08-22,55,"Calgary","5"
618352,2015-07-09,53,"Calgary","3"
92945,2019-05-11,40,"Kelowna","3"
736492,2018-05-13,55,"Lethbridge","5"
131005,2017-08-26,69,"Calgary","5"
532455,2018-01-08,39,"Calgary","5"
809155,2018-02-06,40,"Lethbridge","4"
119917,2017-09-14,56,"Langford","4"
289832,2017-07-19,42,"Red Deer","4"
794810,2017-12-01,45,"Calgary","4"
457939,2014-03-31,20,"Calgary","4"
681764,2015-12-12,28,"Chilliwack","4"
742585,2017-07-16,67,"Vancouver","4"
843703,2016-08-24,24,"Richmond","4"
972956,2015-01-08,57,"Quesnel","4"
737769,2017-08-19,35,"Edmonton","4"
593789,2018-05-10,51,"Edmonton","5"
53265,2018-03-23,44,"Burnaby","4"
548804,2015-02-14,46,"New Westminster","5"
764838,2016-01-27,55,"Revelstoke","4"
900437,2015-10-23,46,"Calgary","3"
548128,2018-09-15,51,"North Vancouver","4"
444122,2019-04-18,63,"Lethbridge","3"
868898,2014-08-16,20,"Spruce Grove","4"
159147,2016-03-23,60,"Redwater","4"
782920,2019-04-23,41,"Edmonton","4"
286655,2019-01-05,33,"Edmonton","5"
752747,2018-04-03,51,"Surrey","5"
37711,2017-12-12,48,"Brooks","5"
440072,2017-11-29,70,"Calgary","5"
579915,2014-06-22,60,"Lethbridge","4"
342262,2014-02-14,31,"Burnaby","2"
475584,2018-10-13,35,"Grande Prairie","4"
941363,2018-06-11,67,"Calgary","3"
799487,2015-02-25,26,"Kamloops","4"
742962,2017-01-17,34,"Medicine Hat","5"
527004,2015-10-14,60,"Calgary","3"
296228,2016-11-14,29,"Surrey","4"
233534,2017-11-01,42,"Mundare","4"
455642,2019-05-29,64,"Vernon","3"
718006,2017-07-01,56,"North Vancouver","4"
154707,2015-11-06,54,"Vancouver","4"
394486,2016-12-23,50,"Surrey","5"
651548,2016-04-19,19,"Calgary","2"
42066,2014-05-02,25,"Fort St. John","5"
363763,2014-12-18,60,"Edmonton","4"
294932,2016-04-07,53,"New Westminster","4"
300794,2015-04-14,54,"Vancouver","4"
810321,2014-02-21,28,"Edmonton","4"
706962,2019-01-16,59,"Abbotsford","4"
704839,2018-01-11,62,"Surrey","2"
40271,2016-11-08,35,"Burnaby","5"
154267,2017-06-03,32,"Edmonton","3"
802982,2019-01-16,66,"Coquitlam","2"
329335,2017-07-12,21,"Red Deer","5"
383821,2015-10-08,56,"Edson","3"
969631,2017-04-07,22,"Surrey","3"
175015,2015-04-29,68,"Abbotsford","4"
106479,2019-03-01,48,"Gibbons","5"
910945,2016-11-26,53,"Vancouver","4"
477881,2018-01-11,42,"Surrey","3"
672782,2018-04-28,55,"Coquitlam","4"
445196,2015-11-03,69,"Port Alberni","3"
768786,2017-12-03,58,"Calgary","4"
324310,2019-01-10,43,"Vancouver","5"
954428,2016-08-26,43,"Edmonton","4"
862687,2017-10-10,68,"Edmonton","3"
115029,2017-01-12,32,"Grande Prairie","5"
479912,2019-06-30,58,"Richmond","5"
449819,2019-04-01,44,"Edmonton","5"
856012,2019-06-19,57,"Calgary","3"
628813,2016-12-29,59,"Quesnel","4"
460921,2014-11-15,19,"Abbotsford","4"
76465,2014-09-22,57,"Port Moody","5"
141718,2017-05-12,37,"Calgary","5"
742853,2019-04-07,42,"Edmonton","4"
538082,2016-09-09,64,"Spruce Grove","3"
824207,2019-05-23,61,"Edmonton","3"
940657,2016-12-05,51,"Edmonton","4"
594814,2017-04-30,25,"Calgary","5"
978806,2017-10-05,46,"Surrey","5"
183367,2016-05-15,53,"Edmonton","4"
721870,2015-08-04,23,"Sidney","4"
430314,2015-07-06,54,"Calgary","4"
124268,2018-12-22,22,"Surrey","4"
863617,2017-11-04,38,"Edmonton","5"
981378,2018-01-27,58,"Vancouver","5"
321636,2018-04-09,44,"Calgary","5"
219008,2018-01-06,54,"Burnaby","5"
851182,2018-04-06,56,"Red Deer","4"
852622,2017-09-24,47,"Vancouver","2"
249398,2017-08-05,59,"Edmonton","4"
851543,2018-06-09,49,"Medicine Hat","4"
70839,2017-08-26,28,"Surrey","5"
179671,2017-03-13,62,"Vegreville","4"
205193,2018-04-27,19,"Edmonton","3"
218983,2018-11-02,55,"Victoria","5"
200567,2019-03-22,60,"Edmonton","5"
193423,2014-09-05,38,"Edmonton","5"
209789,2017-12-22,41,"Calgary","4"
147121,2017-09-11,35,"Edmonton","5"
671425,2017-08-05,19,"Surrey","3"
42577,2014-06-24,43,"Port Coquitlam","3"
75876,2019-01-06,57,"Calgary","4"
193445,2018-03-10,41,"Chilliwack","5"
254622,2017-11-06,21,"Chilliwack","4"
994984,2015-12-18,43,"Vancouver","3"
479877,2018-01-29,65,"Maple Ridge","4"
91794,2016-12-11,45,"Vancouver","4"
302931,2018-06-27,28,"Maple Ridge","4"
251544,2016-05-11,50,"Victoria","5"
659149,2018-07-18,40,"North Vancouver","5"
366662,2016-06-11,23,"Grande Prairie","3"
568570,2018-01-11,21,"Surrey","5"
863382,2015-04-26,67,"Calgary","5"
240747,2017-12-16,53,"Vancouver","3"
934002,2016-09-15,44,"Edmonton","4"
806070,2018-12-12,19,"Surrey","3"
143658,2017-08-02,50,"Edmonton","3"
777644,2017-04-30,53,"Lethbridge","5"
617429,2018-05-27,31,"Nanaimo","3"
791836,2018-03-26,50,"Edmonton","4"
668149,2014-07-19,25,"Calgary","5"
829035,2017-05-29,55,"Langford","5"
471595,2018-03-09,23,"Richmond","5"
563416,2018-08-23,26,"Kelowna","5"
667686,2017-10-08,70,"Calgary","5"
26797,2018-09-02,34,"Calgary","4"
938210,2016-11-13,68,"Edmonton","3"
442605,2014-05-11,31,"Lethbridge","2"
829486,2016-03-18,63,"Fernie","5"
602808,2017-02-12,29,"Vancouver","3"
221193,2018-05-27,39,"Edmonton","5"
619198,2017-07-19,58,"Vancouver","3"
